"global_step","agent_type: gru (SAVI BC Dataset_v0) - _step","agent_type: gru (SAVI BC Dataset_v0) - _step__MIN","agent_type: gru (SAVI BC Dataset_v0) - _step__MAX","agent_type: gru (SAVI BC Dataset_v0) - metrics/success","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MAX","agent_type: gw (SAVI BC Dataset_v0) - _step","agent_type: gw (SAVI BC Dataset_v0) - _step__MIN","agent_type: gw (SAVI BC Dataset_v0) - _step__MAX","agent_type: gw (SAVI BC Dataset_v0) - metrics/success","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MAX"
"1185000","316.4","316","317","0.4000000089406967","0","0.800000011920929","317","317","317","0.3200000077486038","0","0.800000011920929"
"1200000","320.4","320","321","0.5200000077486038","0","1","321","321","321","0.5200000107288361","0.4000000059604645","0.800000011920929"
"1215000","324.4","324","325","0.5200000077486038","0.20000000298023224","0.800000011920929","325","325","325","0.44000000655651095","0.20000000298023224","0.800000011920929"
"1230000","328.4","328","329","0.5200000077486038","0","1","329","329","329","0.360000005364418","0.20000000298023224","0.800000011920929"
"1245000","332.4","332","333","0.4800000101327896","0.20000000298023224","0.800000011920929","333","333","333","0.4800000101327896","0.20000000298023224","0.800000011920929"
"1260000","336.4","336","337","0.32000001072883605","0","0.6000000238418579","337","337","337","0.36000001430511475","0","0.6000000238418579"
"1275000","340.4","340","341","0.28000001013278963","0","0.6000000238418579","341","341","341","0.4000000059604645","0.20000000298023224","0.800000011920929"
"1290000","344.4","344","345","0.44000001549720763","0","0.6000000238418579","345","345","345","0.44000000655651095","0.20000000298023224","0.800000011920929"
"1305000","348.4","348","349","0.4800000131130219","0.20000000298023224","0.800000011920929","349","349","349","0.2800000041723251","0","0.800000011920929"
"1320000","352.4","352","353","0.4000000089406967","0","0.800000011920929","353","353","353","0.3200000077486038","0","0.800000011920929"
"1335000","356.4","356","357","0.3600000113248825","0","0.6000000238418579","357","357","357","0.40000001192092893","0.20000000298023224","0.6000000238418579"
"1350000","360.4","360","361","0.4000000059604645","0","1","361","361","361","0.1600000023841858","0","0.4000000059604645"
"1365000","364.4","364","365","0.5200000137090683","0.20000000298023224","0.800000011920929","365","365","365","0.1600000023841858","0","0.4000000059604645"
"1380000","368.4","368","369","0.6000000149011612","0.20000000298023224","1","369","369","369","0.12000000178813934","0","0.4000000059604645"
"1395000","372.4","372","373","0.4400000095367432","0.20000000298023224","0.800000011920929","373","373","373","0.24000000655651094","0","0.6000000238418579"
"1410000","376.4","376","377","0.5200000107288361","0","0.800000011920929","377","377","377","0.1600000023841858","0","0.20000000298023224"
"1425000","380.4","380","381","0.2800000041723251","0","0.800000011920929","381","381","381","0.24000000357627868","0.20000000298023224","0.4000000059604645"
"1440000","384.4","384","385","0.3600000083446503","0","0.800000011920929","385","385","385","0.28000000715255735","0","0.6000000238418579"
"1455000","388.4","388","389","0.24000000655651094","0","0.6000000238418579","389","389","389","0.1600000023841858","0","0.4000000059604645"
"1470000","392.4","392","393","0.3200000077486038","0.20000000298023224","0.6000000238418579","393","393","393","0.1600000023841858","0","0.4000000059604645"
"1485000","396.4","396","397","0.32000001072883605","0","0.6000000238418579","397","397","397","0.04000000059604645","0","0.20000000298023224"
"1500000","400.4","400","401","0.20000000298023224","0","0.4000000059604645","401","401","401","0.0800000011920929","0","0.20000000298023224"
"1515000","404.4","404","405","0.20000000298023224","0","0.4000000059604645","405","405","405","0.12000000178813934","0","0.20000000298023224"
"1530000","408.4","408","409","0.12000000178813934","0","0.20000000298023224","409","409","409","0.0800000011920929","0","0.20000000298023224"
"1545000","412.4","412","413","0.20000000298023224","0","0.4000000059604645","413","413","413","0.12000000178813934","0","0.4000000059604645"
"1560000","416.4","416","417","0.20000000596046447","0","0.6000000238418579","417","417","417","0.24000000357627868","0","0.800000011920929"
"1575000","420.4","420","421","0.360000005364418","0","0.800000011920929","421","421","421","0.24000000357627868","0","0.800000011920929"
"1590000","424.4","424","425","0.3200000077486038","0","0.6000000238418579","425","425","425","0.20000000596046447","0","0.6000000238418579"
