"global_step","agent_type: gru (SAVI BC Dataset_v0) - _step","agent_type: gru (SAVI BC Dataset_v0) - _step__MIN","agent_type: gru (SAVI BC Dataset_v0) - _step__MAX","agent_type: gru (SAVI BC Dataset_v0) - metrics/success","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MAX","agent_type: gw (Run set 2) - _step","agent_type: gw (Run set 2) - _step__MIN","agent_type: gw (Run set 2) - _step__MAX","agent_type: gw (Run set 2) - metrics/success","agent_type: gw (Run set 2) - metrics/success__MIN","agent_type: gw (Run set 2) - metrics/success__MAX"
"1350000","360.2","360","361","0.4000000059604645","0.20000000298023224","0.800000011920929","360","360","360","0.1600000023841858","0","0.4000000059604645"
"1365000","364.2","364","365","0.5200000137090683","0.20000000298023224","0.800000011920929","364","364","364","0.20000000596046447","0","0.6000000238418579"
"1380000","368.2","368","369","0.1600000023841858","0","0.4000000059604645","368","368","368","0.12000000178813934","0","0.4000000059604645"
"1395000","372.2","372","373","0.2","0","1","372","372","372","0","0","0"
"1410000","376.2","376","377","0.3600000083446503","0","0.800000011920929","376","376","376","0.12000000178813934","0","0.4000000059604645"
"1425000","380.2","380","381","0.44000000655651095","0.20000000298023224","0.800000011920929","380","380","380","0.0800000011920929","0","0.4000000059604645"
"1440000","384.2","384","385","0.3600000083446503","0.20000000298023224","0.6000000238418579","384","384","384","0","0","0"
"1455000","388.2","388","389","0.6400000154972076","0.4000000059604645","0.800000011920929","388","388","388","0.0800000011920929","0","0.20000000298023224"
"1470000","392.2","392","393","0.6000000089406967","0.20000000298023224","1","392","392","392","0.04000000059604645","0","0.20000000298023224"
"1485000","396.2","396","397","0.3600000083446503","0","0.800000011920929","396","396","396","0.0800000011920929","0","0.20000000298023224"
"1500000","400.2","400","401","0.4800000101327896","0","0.800000011920929","400","400","400","0.32000000178813937","0","1"
"1515000","404.2","404","405","0.4400000095367432","0","0.800000011920929","404","404","404","0.0800000011920929","0","0.4000000059604645"
"1530000","408.2","408","409","0.5600000113248825","0.20000000298023224","0.800000011920929","408","408","408","0.20000000298023224","0","0.800000011920929"
"1545000","412.2","412","413","0.3600000113248825","0","0.6000000238418579","412","412","412","0.2800000011920929","0","1"
